"TimeCreated","Id","MachineName","Message"
"8/14/2026 4:11:42 AM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/14/2026 4:11:42 AM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/14/2026 4:11:32 AM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/14/2026 4:11:32 AM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/14/2026 4:11:32 AM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/14/2026 3:46:30 AM","2","c261-19-1","Finished processing user logon notification on session 2."
"8/14/2026 3:46:30 AM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labuser 
Profile type: Regular"
"8/14/2026 3:46:30 AM","5","c261-19-1","Registry file C:\Users\labuser\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1000_Classes."
"8/14/2026 3:46:29 AM","5","c261-19-1","Registry file C:\Users\labuser\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1000."
"8/14/2026 3:46:29 AM","1","c261-19-1","Recieved user logon notification on session 2."
"8/13/2026 7:04:44 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 7:04:44 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 7:04:44 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 7:04:40 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 7:04:40 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 7:04:40 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 6:05:38 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 6:05:38 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 6:05:38 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 6:05:24 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 6:05:24 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 6:05:24 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 5:04:26 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 5:04:26 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 5:04:26 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 5:04:21 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 5:04:21 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 5:04:21 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 5:04:19 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 5:04:19 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 5:04:19 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 5:04:16 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 5:04:16 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 5:04:16 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 5:04:05 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 5:04:05 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 5:04:05 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 5:03:58 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 5:03:58 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
"8/13/2026 5:03:58 PM","5","c261-19-1","Registry file C:\Users\labasservice\ntuser.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001."
"8/13/2026 5:03:54 PM","67","c261-19-1","Logon type: Regular 
Local profile location: C:\Users\labasservice 
Profile type: Regular"
"8/13/2026 5:03:54 PM","5","c261-19-1","Registry file C:\Users\labasservice\AppData\Local\Microsoft\Windows\\UsrClass.dat is loaded at HKU\S-1-5-21-365290690-2687015646-2157030745-1001_Classes."
